idx	weapon	skin	keychain	scope	background

1.png	hunting_rifle  None None      dot       blue      
2018.png	revolver       3    None      dot       green     
2019.png	l96            None disco     dot       blue      
2020.png	p90            2    None      None      blue      
2021.png	spaz           3    dice      dot       green     
2022.png	db             2    leaf      dot       blue      
2023.png	spaz           2    None      dot       red       
2024.png	mp5            1    None      dot       blue      
2025.png	revolver       2    leaf      acog      blue      
2026.png	spaz           3    None      holo      green     
2027.png	revolver       7    None      None      green     
2028.png	revolver       2    None      None      blue      
2029.png	deagle         2    None      dot       green     
2030.png	revolver       None leaf      dot       blue      
2031.png	revolver       4    None      acog      green     
2032.png	p90            None None      dot       blue      
2033.png	db             1    leaf      None      purple    
2034.png	spaz           1    None      None      blue      
2035.png	mp5            2    medal     None      purple    
2036.png	revolver       None disco     None      green     
2037.png	hunting_rifle  1    None      dot       blue      
2038.png	spaz           1    None      None      green     
2039.png	p90            2    disco     dot       blue      
2040.png	deagle         4    None      None      green     
2041.png	db             7    disco     None      purple    
2042.png	revolver       3    dice      holo      green     
2043.png	deagle         1    None      None      green     
2044.png	hunting_rifle  1    None      None      red       
2045.png	p90            5    None      acog      green     
2046.png	revolver       7    leaf      acog      blue      
2047.png	ray_gun        4    medal     None      blue      
2048.png	l96            2    None      dot       green     
2049.png	hunting_rifle  None medal     holo      blue      
2050.png	l96            5    None      None      purple    
2051.png	deagle         None medal     acog      blue      
2052.png	spaz           1    None      holo      green     
2053.png	hunting_rifle  5    None      acog      purple    
2054.png	deagle         None None      thermal   purple    
2055.png	rpg            1    leaf      None      green     
2056.png	deagle         4    None      dot       purple    
2057.png	revolver       1    pinata    holo      blue      
2058.png	revolver       1    None      None      blue      
